user,login_count,night_login_count,weekend_login_count,usb_connect_count,usb_disconnect_count,usb_usage_count,email_count_x,attachment_count_x,email_size_total_x,avg_email_size_x,email_count_y,attachment_count_y,email_size_total_y,avg_email_size_y,email_count,attachment_count,email_size_total,avg_email_size,file_access_count,unique_file_count,pdf_count,doc_count,image_count,website_visit_count_x,unique_website_count_x,after_hours_web_activity_x,website_visit_count_y,unique_website_count_y,after_hours_web_activity_y,website_visit_count,unique_website_count,after_hours_web_activity
AGH0396,733,0.0,0.0,0.0,0.0,0.0,3009,1826,89479193,29737.18610834164,3009,1826,89479193,29737.18610834164,3009,1826,89479193,29737.18610834164,0.0,0.0,0.0,0.0,0.0,32870,196,0.0,32870,196,0.0,32870,196,0.0
AGM0783,346,0.0,0.0,0.0,0.0,0.0,1005,0,29884894,29736.212935323383,1005,0,29884894,29736.212935323383,1005,0,29884894,29736.212935323383,0.0,0.0,0.0,0.0,0.0,10005,142,0.0,10005,142,0.0,10005,142,0.0
AHF0181,637,0.0,0.0,0.0,0.0,0.0,1018,632,30525091,29985.354616895875,1018,632,30525091,29985.354616895875,1018,632,30525091,29985.354616895875,0.0,0.0,0.0,0.0,0.0,10034,109,0.0,10034,109,0.0,10034,109,0.0
AHM0795,738,0.0,0.0,0.0,0.0,0.0,2976,1439,88842125,29852.86458333333,2976,1439,88842125,29852.86458333333,2976,1439,88842125,29852.86458333333,0.0,0.0,0.0,0.0,0.0,32870,161,0.0,32870,161,0.0,32870,161,0.0
AHR0528,766,29.0,4.0,0.0,0.0,0.0,1030,816,30594412,29703.312621359222,1030,816,30594412,29703.312621359222,1030,816,30594412,29703.312621359222,0.0,0.0,0.0,0.0,0.0,10034,160,48.0,10034,160,48.0,10034,160,48.0
AIB0988,346,0.0,0.0,0.0,0.0,0.0,3045,604,91711827,30118.826600985223,3045,604,91711827,30118.826600985223,3045,604,91711827,30118.826600985223,0.0,0.0,0.0,0.0,0.0,32870,249,0.0,32870,249,0.0,32870,249,0.0
AIH0090,346,0.0,0.0,0.0,0.0,0.0,3630,0,108448306,29875.566391184573,3630,0,108448306,29875.566391184573,3630,0,108448306,29875.566391184573,0.0,0.0,0.0,0.0,0.0,39444,88,0.0,39444,88,0.0,39444,88,0.0
AJB0513,346,0.0,0.0,0.0,0.0,0.0,1017,148,30116332,29612.91248770895,1017,148,30116332,29612.91248770895,1017,148,30116332,29612.91248770895,0.0,0.0,0.0,0.0,0.0,10034,185,0.0,10034,185,0.0,10034,185,0.0
AJH0483,346,0.0,0.0,0.0,0.0,0.0,5079,3722,152616497,30048.53258515456,5079,3722,152616497,30048.53258515456,5079,3722,152616497,30048.53258515456,0.0,0.0,0.0,0.0,0.0,56052,310,0.0,56052,310,0.0,56052,310,0.0
AJH0734,645,0.0,0.0,154.0,152.0,306.0,5036,2730,153047862,30390.758935663223,5036,2730,153047862,30390.758935663223,5036,2730,153047862,30390.758935663223,473.0,473.0,82.0,310.0,26.0,52938,214,0.0,52938,214,0.0,52938,214,0.0
AJJ0621,607,0.0,0.0,0.0,0.0,0.0,5005,4123,150293729,30028.717082917083,5005,4123,150293729,30028.717082917083,5005,4123,150293729,30028.717082917083,0.0,0.0,0.0,0.0,0.0,56052,225,0.0,56052,225,0.0,56052,225,0.0
AJT0134,666,6.0,0.0,2995.0,2975.0,5970.0,336,62,10208638,30382.85119047619,336,62,10208638,30382.85119047619,336,62,10208638,30382.85119047619,572.0,572.0,117.0,363.0,30.0,3460,143,10.0,3460,143,10.0,3460,143,10.0
AJW0342,478,39.0,70.0,0.0,0.0,0.0,1220,726,36266422,29726.575409836067,1220,726,36266422,29726.575409836067,1220,726,36266422,29726.575409836067,0.0,0.0,0.0,0.0,0.0,11832,196,110.0,11832,196,110.0,11832,196,110.0
AKG0103,346,0.0,0.0,0.0,0.0,0.0,2981,0,90059682,30211.23180140892,2981,0,90059682,30211.23180140892,2981,0,90059682,30211.23180140892,0.0,0.0,0.0,0.0,0.0,32775,193,0.0,32775,193,0.0,32775,193,0.0
AKH0924,346,0.0,0.0,0.0,0.0,0.0,3051,1355,92361232,30272.445755490004,3051,1355,92361232,30272.445755490004,3051,1355,92361232,30272.445755490004,0.0,0.0,0.0,0.0,0.0,32775,222,0.0,32775,222,0.0,32775,222,0.0
AKM0264,346,0.0,0.0,0.0,0.0,0.0,3024,2192,90453061,29911.726521164022,3024,2192,90453061,29911.726521164022,3024,2192,90453061,29911.726521164022,0.0,0.0,0.0,0.0,0.0,32870,241,0.0,32870,241,0.0,32870,241,0.0
AKM0495,614,0.0,0.0,0.0,0.0,0.0,5060,3931,151514970,29943.669960474308,5060,3931,151514970,29943.669960474308,5060,3931,151514970,29943.669960474308,0.0,0.0,0.0,0.0,0.0,55890,217,0.0,55890,217,0.0,55890,217,0.0
AKQ0686,620,0.0,0.0,664.0,657.0,1321.0,3049,1723,91443156,29991.195801902264,3049,1723,91443156,29991.195801902264,3049,1723,91443156,29991.195801902264,558.0,558.0,110.0,351.0,22.0,34600,163,0.0,34600,163,0.0,34600,163,0.0
AKS0812,346,0.0,0.0,2981.0,2968.0,5949.0,3009,1524,89924928,29885.32003988036,3009,1524,89924928,29885.32003988036,3009,1524,89924928,29885.32003988036,417.0,417.0,75.0,270.0,26.0,31050,139,0.0,31050,139,0.0,31050,139,0.0
ALG0082,693,5.0,0.0,0.0,0.0,0.0,3023,2603,90435835,29915.92292424744,3023,2603,90435835,29915.92292424744,3023,2603,90435835,29915.92292424744,0.0,0.0,0.0,0.0,0.0,32870,208,21.0,32870,208,21.0,32870,208,21.0
ALH0731,346,0.0,0.0,0.0,0.0,0.0,5061,2035,152083937,30050.175261805965,5061,2035,152083937,30050.175261805965,5061,2035,152083937,30050.175261805965,0.0,0.0,0.0,0.0,0.0,56052,216,0.0,56052,216,0.0,56052,216,0.0
ALK0315,346,0.0,0.0,0.0,0.0,0.0,5029,0,151508777,30127.018691588783,5029,0,151508777,30127.018691588783,5029,0,151508777,30127.018691588783,0.0,0.0,0.0,0.0,0.0,56052,207,0.0,56052,207,0.0,56052,207,0.0
AMB0288,646,0.0,0.0,3003.0,2986.0,5989.0,333,327,9910961,29762.645645645647,333,327,9910961,29762.645645645647,333,327,9910961,29762.645645645647,866.0,866.0,169.0,546.0,47.0,3450,85,0.0,3450,85,0.0,3450,85,0.0
AMH0388,614,0.0,0.0,0.0,0.0,0.0,3018,2475,90535205,29998.411199469847,3018,2475,90535205,29998.411199469847,3018,2475,90535205,29998.411199469847,0.0,0.0,0.0,0.0,0.0,32870,179,0.0,32870,179,0.0,32870,179,0.0
AMJ0727,346,0.0,0.0,0.0,0.0,0.0,5038,0,149997586,29773.24057165542,5038,0,149997586,29773.24057165542,5038,0,149997586,29773.24057165542,0.0,0.0,0.0,0.0,0.0,56052,176,0.0,56052,176,0.0,56052,176,0.0
AMR0027,507,43.0,71.0,444.0,441.0,885.0,3676,2334,110028665,29931.62812840044,3676,2334,110028665,29931.62812840044,3676,2334,110028665,29931.62812840044,706.0,706.0,143.0,454.0,43.0,39140,239,565.0,39140,239,565.0,39140,239,565.0
AMW0072,786,3.0,140.0,0.0,0.0,0.0,3697,2250,111032361,30033.09737625101,3697,2250,111032361,30033.09737625101,3697,2250,111032361,30033.09737625101,0.0,0.0,0.0,0.0,0.0,40660,195,76.0,40660,195,76.0,40660,195,76.0
AMZ0993,281,0.0,0.0,0.0,0.0,0.0,2457,0,73130440,29764.11884411884,2457,0,73130440,29764.11884411884,2457,0,73130440,29764.11884411884,0.0,0.0,0.0,0.0,0.0,26695,303,0.0,26695,303,0.0,26695,303,0.0
ANC0037,467,25.0,1.0,2753.0,2746.0,5499.0,4718,2539,141965005,30090.081602373888,4718,2539,141965005,30090.081602373888,4718,2539,141965005,30090.081602373888,382.0,382.0,70.0,240.0,20.0,49478,169,348.0,49478,169,348.0,49478,169,348.0
ANC0040,1378,487.0,0.0,0.0,0.0,0.0,3679,1217,110215784,29958.082087523784,3679,1217,110215784,29958.082087523784,3679,1217,110215784,29958.082087523784,0.0,0.0,0.0,0.0,0.0,39330,127,0.0,39330,127,0.0,39330,127,0.0
APM0794,346,0.0,0.0,0.0,0.0,0.0,3018,1356,90863684,30107.251159708416,3018,1356,90863684,30107.251159708416,3018,1356,90863684,30107.251159708416,0.0,0.0,0.0,0.0,0.0,32870,216,0.0,32870,216,0.0,32870,216,0.0
ARS0405,346,0.0,0.0,0.0,0.0,0.0,3044,0,91480146,30052.61038107753,3044,0,91480146,30052.61038107753,3044,0,91480146,30052.61038107753,0.0,0.0,0.0,0.0,0.0,32870,140,0.0,32870,140,0.0,32870,140,0.0
ARS0549,570,0.0,118.0,2484.0,2467.0,4951.0,2516,1366,76007864,30209.802861685213,2516,1366,76007864,30209.802861685213,2516,1366,76007864,30209.802861685213,891.0,891.0,174.0,570.0,48.0,27170,114,0.0,27170,114,0.0,27170,114,0.0
ART0659,346,0.0,0.0,0.0,0.0,0.0,1004,0,30251826,30131.30079681275,1004,0,30251826,30131.30079681275,1004,0,30251826,30131.30079681275,0.0,0.0,0.0,0.0,0.0,10034,266,0.0,10034,266,0.0,10034,266,0.0
ASC0636,346,0.0,0.0,0.0,0.0,0.0,994,175,30200158,30382.452716297787,994,175,30200158,30382.452716297787,994,175,30200158,30382.452716297787,0.0,0.0,0.0,0.0,0.0,10005,149,0.0,10005,149,0.0,10005,149,0.0
ASD0077,346,0.0,0.0,0.0,0.0,0.0,5965,2360,180084099,30190.125565800503,5965,2360,180084099,30190.125565800503,5965,2360,180084099,30190.125565800503,0.0,0.0,0.0,0.0,0.0,65740,131,0.0,65740,131,0.0,65740,131,0.0
ASF0450,615,0.0,0.0,0.0,0.0,0.0,336,327,10095895,30047.30654761905,336,327,10095895,30047.30654761905,336,327,10095895,30047.30654761905,0.0,0.0,0.0,0.0,0.0,3450,112,0.0,3450,112,0.0,3450,112,0.0
ASH0225,1417,525.0,0.0,0.0,0.0,0.0,3684,1547,111041118,30141.454397394136,3684,1547,111041118,30141.454397394136,3684,1547,111041118,30141.454397394136,0.0,0.0,0.0,0.0,0.0,39444,186,0.0,39444,186,0.0,39444,186,0.0
ASW0368,1404,524.0,0.0,0.0,0.0,0.0,3652,638,108836839,29801.982201533407,3652,638,108836839,29801.982201533407,3652,638,108836839,29801.982201533407,0.0,0.0,0.0,0.0,0.0,39413,270,0.0,39413,270,0.0,39413,270,0.0
ATB0075,370,0.0,0.0,2996.0,2981.0,5977.0,5667,1154,170220699,30037.179989412387,5667,1154,170220699,30037.179989412387,5667,1154,170220699,30037.179989412387,8546.0,8546.0,1688.0,5503.0,431.0,62280,303,0.0,62280,303,0.0,62280,303,0.0
ATC0286,346,0.0,0.0,0.0,0.0,0.0,2991,1961,89464346,29911.182213306587,2991,1961,89464346,29911.182213306587,2991,1961,89464346,29911.182213306587,0.0,0.0,0.0,0.0,0.0,32680,70,0.0,32680,70,0.0,32680,70,0.0
ATK0902,345,0.0,0.0,0.0,0.0,0.0,997,328,29851915,29941.740220661984,997,328,29851915,29941.740220661984,997,328,29851915,29941.740220661984,0.0,0.0,0.0,0.0,0.0,10005,160,0.0,10005,160,0.0,10005,160,0.0
ATM0889,346,0.0,0.0,0.0,0.0,0.0,1015,439,30772633,30317.86502463054,1015,439,30772633,30317.86502463054,1015,439,30772633,30317.86502463054,0.0,0.0,0.0,0.0,0.0,10034,113,0.0,10034,113,0.0,10034,113,0.0
ATP0664,368,0.0,0.0,2990.0,2978.0,5968.0,4364,856,130632960,29934.22548120989,4364,856,130632960,29934.22548120989,4364,856,130632960,29934.22548120989,433.0,433.0,78.0,285.0,26.0,49478,175,0.0,49478,175,0.0,49478,175,0.0
AUH0522,346,0.0,0.0,0.0,0.0,0.0,1029,671,30754123,29887.38872691934,1029,671,30754123,29887.38872691934,1029,671,30754123,29887.38872691934,0.0,0.0,0.0,0.0,0.0,10005,130,0.0,10005,130,0.0,10005,130,0.0
AUS0412,346,0.0,0.0,0.0,0.0,0.0,3016,544,89616701,29713.76027851459,3016,544,89616701,29713.76027851459,3016,544,89616701,29713.76027851459,0.0,0.0,0.0,0.0,0.0,32870,181,0.0,32870,181,0.0,32870,181,0.0
AUT0313,784,34.0,97.0,159.0,158.0,317.0,6263,1329,187406231,29922.757624141785,6263,1329,187406231,29922.757624141785,6263,1329,187406231,29922.757624141785,320.0,320.0,60.0,194.0,26.0,65124,174,199.0,65124,174,199.0,65124,174,199.0
AVW0409,613,0.0,0.0,702.0,696.0,1398.0,3003,2011,90940865,30283.33832833833,3003,2011,90940865,30283.33832833833,3003,2011,90940865,30283.33832833833,1291.0,1291.0,246.0,831.0,73.0,32775,219,0.0,32775,219,0.0,32775,219,0.0
AWG0170,337,0.0,0.0,0.0,0.0,0.0,2259,1165,66541577,29456.209384683487,2259,1165,66541577,29456.209384683487,2259,1165,66541577,29456.209384683487,0.0,0.0,0.0,0.0,0.0,25434,124,0.0,25434,124,0.0,25434,124,0.0
AXW0121,346,0.0,0.0,0.0,0.0,0.0,2919,0,87929164,30123.0435080507,2919,0,87929164,30123.0435080507,2919,0,87929164,30123.0435080507,0.0,0.0,0.0,0.0,0.0,32870,234,0.0,32870,234,0.0,32870,234,0.0
AYA0403,918,0.0,191.0,0.0,0.0,0.0,3894,1931,117186955,30094.236004108887,3894,1931,117186955,30094.236004108887,3894,1931,117186955,30094.236004108887,0.0,0.0,0.0,0.0,0.0,42275,168,0.0,42275,168,0.0,42275,168,0.0
AYG0410,621,0.0,0.0,695.0,685.0,1380.0,3024,2454,89605900,29631.580687830687,3024,2454,89605900,29631.580687830687,3024,2454,89605900,29631.580687830687,1552.0,1552.0,293.0,989.0,84.0,32775,237,0.0,32775,237,0.0,32775,237,0.0
AYM0107,346,0.0,0.0,0.0,0.0,0.0,3021,0,91253330,30206.33234028468,3021,0,91253330,30206.33234028468,3021,0,91253330,30206.33234028468,0.0,0.0,0.0,0.0,0.0,32775,210,0.0,32775,210,0.0,32775,210,0.0
AYW0772,674,28.0,2.0,132.0,130.0,262.0,1012,546,30536742,30174.646245059288,1012,546,30536742,30174.646245059288,1012,546,30536742,30174.646245059288,2571.0,2571.0,484.0,1655.0,136.0,10034,193,47.0,10034,193,47.0,10034,193,47.0
BAG0449,346,0.0,0.0,0.0,0.0,0.0,339,0,10176667,30019.666666666668,339,0,10176667,30019.666666666668,339,0,10176667,30019.666666666668,0.0,0.0,0.0,0.0,0.0,3460,134,0.0,3460,134,0.0,3460,134,0.0
BAM0135,346,0.0,0.0,0.0,0.0,0.0,339,305,10080585,29736.2389380531,339,305,10080585,29736.2389380531,339,305,10080585,29736.2389380531,0.0,0.0,0.0,0.0,0.0,3460,76,0.0,3460,76,0.0,3460,76,0.0
BBS0032,346,0.0,0.0,0.0,0.0,0.0,4650,0,139945844,30095.880430107525,4650,0,139945844,30095.880430107525,4650,0,139945844,30095.880430107525,0.0,0.0,0.0,0.0,0.0,49478,184,0.0,49478,184,0.0,49478,184,0.0
BBW0463,506,0.0,0.0,0.0,0.0,0.0,264,232,7780585,29471.91287878788,264,232,7780585,29471.91287878788,264,232,7780585,29471.91287878788,0.0,0.0,0.0,0.0,0.0,2730,130,0.0,2730,130,0.0,2730,130,0.0
BCA0609,346,0.0,0.0,0.0,0.0,0.0,5041,4439,152053369,30163.33445744892,5041,4439,152053369,30163.33445744892,5041,4439,152053369,30163.33445744892,0.0,0.0,0.0,0.0,0.0,56052,245,0.0,56052,245,0.0,56052,245,0.0
BCB0186,210,0.0,0.0,0.0,0.0,0.0,613,217,18168413,29638.52039151713,613,217,18168413,29638.52039151713,613,217,18168413,29638.52039151713,0.0,0.0,0.0,0.0,0.0,6090,167,0.0,6090,167,0.0,6090,167,0.0
BCC0335,346,0.0,0.0,0.0,0.0,0.0,1005,0,30135842,29985.912437810945,1005,0,30135842,29985.912437810945,1005,0,30135842,29985.912437810945,0.0,0.0,0.0,0.0,0.0,10034,276,0.0,10034,276,0.0,10034,276,0.0
BCC0825,616,0.0,0.0,0.0,0.0,0.0,336,132,10580762,31490.36309523809,336,132,10580762,31490.36309523809,336,132,10580762,31490.36309523809,0.0,0.0,0.0,0.0,0.0,3460,178,0.0,3460,178,0.0,3460,178,0.0
BCE0013,440,35.0,3.0,0.0,0.0,0.0,5746,1193,171325270,29816.44100243648,5746,1193,171325270,29816.44100243648,5746,1193,171325270,29816.44100243648,0.0,0.0,0.0,0.0,0.0,65740,246,560.0,65740,246,560.0,65740,246,560.0
BCE0425,346,0.0,0.0,0.0,0.0,0.0,3035,0,91659702,30200.89028006589,3035,0,91659702,30200.89028006589,3035,0,91659702,30200.89028006589,0.0,0.0,0.0,0.0,0.0,32870,254,0.0,32870,254,0.0,32870,254,0.0
BCF0309,614,0.0,0.0,0.0,0.0,0.0,5069,4004,152054302,29996.90313671336,5069,4004,152054302,29996.90313671336,5069,4004,152054302,29996.90313671336,0.0,0.0,0.0,0.0,0.0,56052,300,0.0,56052,300,0.0,56052,300,0.0
BCH0676,646,0.0,0.0,0.0,0.0,0.0,3027,1813,92074243,30417.655434423523,3027,1813,92074243,30417.655434423523,3027,1813,92074243,30417.655434423523,0.0,0.0,0.0,0.0,0.0,32775,119,0.0,32775,119,0.0,32775,119,0.0
BCL0002,346,0.0,0.0,0.0,0.0,0.0,3666,0,111187374,30329.343698854336,3666,0,111187374,30329.343698854336,3666,0,111187374,30329.343698854336,0.0,0.0,0.0,0.0,0.0,39444,234,0.0,39444,234,0.0,39444,234,0.0
BCO0270,346,0.0,0.0,0.0,0.0,0.0,2953,2138,88975048,30130.3921435828,2953,2138,88975048,30130.3921435828,2953,2138,88975048,30130.3921435828,0.0,0.0,0.0,0.0,0.0,32870,232,0.0,32870,232,0.0,32870,232,0.0
BCS0212,659,0.0,0.0,3000.0,2985.0,5985.0,4704,3127,141191512,30015.20238095238,4704,3127,141191512,30015.20238095238,4704,3127,141191512,30015.20238095238,618.0,618.0,136.0,386.0,22.0,46710,201,0.0,46710,201,0.0,46710,201,0.0
BEF0278,346,0.0,0.0,0.0,0.0,0.0,3061,595,92493193,30216.658934988565,3061,595,92493193,30216.658934988565,3061,595,92493193,30216.658934988565,0.0,0.0,0.0,0.0,0.0,32870,59,0.0,32870,59,0.0,32870,59,0.0
BFF0257,670,19.0,2.0,694.0,688.0,1382.0,3020,1831,90228116,29876.859602649005,3020,1831,90228116,29876.859602649005,3020,1831,90228116,29876.859602649005,1620.0,1620.0,327.0,1037.0,85.0,34600,280,279.0,34600,280,279.0,34600,280,279.0
BFM0761,352,4.0,4.0,2708.0,2696.0,5404.0,1005,204,30137835,29987.89552238806,1005,204,30137835,29987.89552238806,1005,204,30137835,29987.89552238806,8699.0,8699.0,1778.0,5537.0,469.0,10380,219,14.0,10380,219,14.0,10380,219,14.0
BFN0452,346,0.0,0.0,0.0,0.0,0.0,337,196,10026747,29752.95845697329,337,196,10026747,29752.95845697329,337,196,10026747,29752.95845697329,0.0,0.0,0.0,0.0,0.0,3450,87,0.0,3450,87,0.0,3450,87,0.0
BGD0030,621,0.0,0.0,379.0,376.0,755.0,3687,2923,111229256,30167.95660428533,3687,2923,111229256,30167.95660428533,3687,2923,111229256,30167.95660428533,427.0,427.0,81.0,272.0,22.0,39444,154,0.0,39444,154,0.0,39444,154,0.0
BGD0554,617,0.0,0.0,0.0,0.0,0.0,3030,1228,91790719,30293.966666666667,3030,1228,91790719,30293.966666666667,3030,1228,91790719,30293.966666666667,0.0,0.0,0.0,0.0,0.0,32870,129,0.0,32870,129,0.0,32870,129,0.0
BGR0223,1675,484.0,0.0,0.0,0.0,0.0,3729,3018,111447026,29886.57173504961,3729,3018,111447026,29886.57173504961,3729,3018,111447026,29886.57173504961,0.0,0.0,0.0,0.0,0.0,37368,258,0.0,37368,258,0.0,37368,258,0.0
BGW0394,364,0.0,0.0,0.0,0.0,0.0,3018,2637,90371124,29944.04373757456,3018,2637,90371124,29944.04373757456,3018,2637,90371124,29944.04373757456,0.0,0.0,0.0,0.0,0.0,32775,235,0.0,32775,235,0.0,32775,235,0.0
BHV0556,936,6.0,232.0,3983.0,3967.0,7950.0,3991,937,120163028,30108.50112753696,3991,937,120163028,30108.50112753696,3991,937,120163028,30108.50112753696,11546.0,11546.0,2331.0,7395.0,563.0,43890,166,48.0,43890,166,48.0,43890,166,48.0
